algo,type,data_set,K,index_time(s),size(MB),before_clean_size(MB),query_time(ms),before_clean_query_time(ms),clean_time(s)
2023WWW,CPU,amazon-meta,2,22.23,4268679,0,35.552,0,0
2023WWW,CPU,amazon-meta,3,16.3161,9398620,0,45.6173,0,0
2023WWW,CPU,amazon-meta,4,17.4927,22024088,0,78.1087,0,0
2023WWW,CPU,as-caida20071105,2,1.35626,333736,0,34.0771,0,0
2023WWW,CPU,as-caida20071105,3,0.976148,1018172,0,70.5849,0,0
2023WWW,CPU,as-caida20071105,4,1.13513,1923614,0,117.239,0,0
2023WWW,CPU,com-youtube,2,92.1833,34055508,0,171.907,0,0
2023WWW,CPU,com-youtube,3,153.458,238253691,0,446.721,0,0
2023WWW,CPU,com-youtube,4,269.971,555399594,0,732.659,0,0
2023WWW,CPU,web-BerkStan,2,16.4155,12843546,0,30.1744,0,0
2023WWW,CPU,web-BerkStan,3,35.6053,25120888,0,70.484,0,0
2023WWW,CPU,web-BerkStan,4,14.097,46908548,0,141.764,0,0
2023WWW,CPU,web-Google,2,31.6647,11222167,0,32.7063,0,0
2023WWW,CPU,web-Google,3,63.5051,40237973,0,101.823,0,0
2023WWW,CPU,web-Google,4,88.7444,111824698,0,206.205,0,0
2023WWW,CPU,web-NotreDame,2,5.59244,2900341,0,18.7612,0,0
2023WWW,CPU,web-NotreDame,3,9.65531,6833970,0,33.5893,0,0
2023WWW,CPU,web-NotreDame,4,16.6236,14990338,0,91.8332,0,0
2023WWW,CPU,Amazon0302,2,19.0974,2716549,0,38.4825,0,0
2023WWW,CPU,Amazon0302,3,22.6554,6646341,0,68.1496,0,0
2023WWW,CPU,Amazon0302,4,24.3086,17123144,0,145.311,0,0
2023WWW,CPU,CA-CondMat,2,1.85727,436572,0,39.1827,0,0
2023WWW,CPU,CA-CondMat,3,1.75407,1795242,0,123.09,0,0
2023WWW,CPU,CA-CondMat,4,2.18617,4984404,0,310.762,0,0
2023WWW,CPU,Email-Enron,2,3.32897,1591261,0,118.3,0,0
2023WWW,CPU,Email-Enron,3,2.62239,5212749,0,246.233,0,0
2023WWW,CPU,Email-Enron,4,2.75976,8943053,0,382.332,0,0
2023WWW,CPU,Email-EuAll,2,27.123,3770534,0,72.2935,0,0
2023WWW,CPU,Email-EuAll,3,51.0567,30689234,0,223.432,0,0
2023WWW,CPU,Email-EuAll,4,65.0759,51946139,0,341.057,0,0
2023WWW,CPU,Brightkite_edges,2,3.37063,1764109,0,69.7162,0,0
2023WWW,CPU,Brightkite_edges,3,3.26745,7868208,0,263.529,0,0
2023WWW,CPU,Brightkite_edges,4,3.95446,17290433,0,422.318,0,0
2023WWW,CPU,com-amazon,2,21.8965,2398868,0,39.7449,0,0
2023WWW,CPU,com-amazon,3,10.2264,4832190,0,51.5395,0,0
2023WWW,CPU,com-amazon,4,13.0046,10596047,0,90.1573,0,0
2023WWW,CPU,Gowalla_edges,2,7.2075,9263159,0,144.956,0,0
2023WWW,CPU,Gowalla_edges,3,11.0188,38118285,0,316.413,0,0
2023WWW,CPU,Gowalla_edges,4,17.5859,77008777,0,401.495,0,0
2023WWW,CPU,p2p-Gnutella31,2,1.33047,845911,0,31.5711,0,0
2023WWW,CPU,p2p-Gnutella31,3,2.53535,4732627,0,97.5962,0,0
2023WWW,CPU,p2p-Gnutella31,4,5.47777,24054814,0,492.993,0,0


