algo,type,data_set,K,index_time(s),size(MB),before_clean_size(MB),query_time(ms),before_clean_query_time(ms),clean_time(s)
HSDL,CPU,Brightkite_edges,2,2.71306,1696085,1794178,64.6383,70.2564,1.79148
HSDL,CPU,Brightkite_edges,3,12.6659,6715428,8964229,206.179,286.324,1.77086
HSDL,CPU,Brightkite_edges,4,9.48656,12922178,18713944,315.101,487.356,0.584461
HSDL,CPU,com-amazon,2,5.62773,2397306,2400573,21.2574,22.5469,0.952222
HSDL,CPU,com-amazon,3,11.6689,4821155,4850935,34.4821,51.6496,6.69069
HSDL,CPU,com-amazon,4,12.4413,10536519,10702147,67.8321,68.5695,3.11788
HSDL,CPU,Gowalla_edges,2,8.27527,8746647,9812498,105.426,117.928,5.77892
HSDL,CPU,Gowalla_edges,3,49.5939,31832452,43978956,276.095,370.621,1.4821
HSDL,CPU,Gowalla_edges,4,66.6941,57570688,82756441,379.669,522.08,2.4155
HSDL,CPU,p2p-Gnutella31,2,1.39273,845882,845924,24.5955,17.7613,0.427789
HSDL,CPU,p2p-Gnutella31,3,1.32676,4730377,4734267,93.4705,98.1009,2.09879
HSDL,CPU,p2p-Gnutella31,4,13.8133,23959871,24147365,455.838,462.375,1.39732
HSDL,CPU,Amazon0302,2,5.52469,2713062,2717536,19.373,22.8652,0.915924
HSDL,CPU,Amazon0302,3,6.61022,6602160,6697608,52.3216,57.5969,3.99383
HSDL,CPU,Amazon0302,4,25.9169,16795180,17585453,126.35,131.485,5.6206
HSDL,CPU,CA-CondMat,2,0.532718,428254,437415,35.3665,35.9602,0.608133
HSDL,CPU,CA-CondMat,3,0.903745,1632945,1819986,97.866,83.5717,0.379846
HSDL,CPU,CA-CondMat,4,1.37125,4105196,5037198,261.965,272.616,0.470374
HSDL,CPU,Email-Enron,2,2.93006,1436430,1665814,87.0107,105.994,0.190515
HSDL,CPU,Email-Enron,3,2.08666,3929614,5343069,211.481,263.259,1.75055
HSDL,CPU,Email-Enron,4,12.0388,5865210,9318959,305.469,390.712,0.953016
HSDL,CPU,Email-EuAll,2,12.7376,3692973,3834982,69.2633,78.5377,8.33613
HSDL,CPU,Email-EuAll,3,101.154,28612938,31542195,213.206,229.151,1.58482
HSDL,CPU,Email-EuAll,4,149.76,45294350,52640282,348.972,356.348,8.64458
HSDL,CPU,amazon-meta,2,39.8246,4266003,4270579,26.1453,33.2204,15.6613
HSDL,CPU,amazon-meta,3,12.1599,9374541,9431158,56.179,72.2647,32.6971
HSDL,CPU,amazon-meta,4,39.4393,21941914,22262884,88.0764,81.3713,2.48591
HSDL,CPU,as-caida20071105,2,1.39269,297395,333635,35.1115,34.0339,1.19525
HSDL,CPU,as-caida20071105,3,2.50382,655672,1019714,48.2672,78.3158,0.943207
HSDL,CPU,as-caida20071105,4,2.14167,902518,1938462,71.8799,129.806,1.36763
HSDL,CPU,com-youtube,2,87.9575,33356192,35335083,108.269,131.909,4.85688
HSDL,CPU,com-youtube,3,179.44,221868687,252696891,303.775,515.96,11.2418
HSDL,CPU,com-youtube,4,445.332,488950977,577030159,530.39,754.731,27.3908
HSDL,CPU,web-BerkStan,2,30.7197,12415054,13968210,56.0171,49.0201,2.82605
HSDL,CPU,web-BerkStan,3,45.4738,22409159,31880130,57.5086,77.6037,2.97635
HSDL,CPU,web-BerkStan,4,62.2104,38758268,60182840,83.3437,93.5002,3.25888
HSDL,CPU,web-Google,2,13.9465,11186714,11409208,44.0818,45.2524,3.00187
HSDL,CPU,web-Google,3,102.142,38683091,43310137,96.3627,102.971,16.9721
HSDL,CPU,web-Google,4,192.612,100183810,122511667,152.176,233.322,5.21112
HSDL,CPU,web-NotreDame,2,10.9078,2809709,3108390,26.02,23.1417,1.96973
HSDL,CPU,web-NotreDame,3,8.20292,6114286,7287822,31.0971,35.445,1.18221
HSDL,CPU,web-NotreDame,4,25.6748,12220690,18192539,53.4293,83.6973,1.59595

HSDL,CPU,DBLP,4,2962.33,3056005231,3109322539,3246.26,3682.97,1253.14
HSDL,CPU,DBLP,3,409.728,888687116,907436484,1179.62,1350.06,160.696
