algo,type,data_set,K,index_time(s),size(MB),before_clean_size(MB),query_time(ms),before_clean_query_time(ms),clean_time(s),before_clean_query_path_time(ms),query_path_time(ms)

Hybrid_t=100,GPU,Email-EuAll,3,25.9384,28612938,35806122,127.599,168.779,3.26446,198.697,159.306
Hybrid_Gmax=1000,GPU,Email-EuAll,3,18.5391,28612938,34521398,135.604,158.765,6.27839,189.685,161.741

Hybrid_Gmax=100,GPU,Email-EuAll,3,15.1745,28612938,37235654,154.152,177.939,10.7223,208.292,180.702


Hybrid_Gmax=1000,GPU,Gowalla_edges,3,13.4656,31832452,77019307,252.617,481.535,1.3756,441.273,210.98
Hybrid_Gmax=1000,GPU,p2p-Gnutella31,3,0.925442,4730377,4813828,77.4391,66.6589,0.364381,49.6505,58.9587
Hybrid_Gmax=100,GPU,Gowalla_edges,3,25.7171,31832452,78922412,192.209,477.925,5.2907,444.357,180.679
Hybrid_Gmax=100,GPU,p2p-Gnutella31,3,2.45766,4730377,4816644,86.3743,68.5552,1.00604,49.8534,64.4124
Hybrid_t=100,GPU,Gowalla_edges,3,12.5155,31832452,76799279,185.577,460.852,1.88973,436.633,179.08
Hybrid_t=100,GPU,p2p-Gnutella31,3,0.97554,4730377,4813269,97.4227,72.9326,0.536185,50.5484,67.4479



Hybrid_Gmax=1000,GPU,amazon-meta,3,15.0571,10161351,10290421,69.6914,32.1584,2.50177,13.8514,20.1556
Hybrid_Gmax=1000,GPU,as-caida20071105,3,0.780952,655672,1022740,46.0689,46.6064,0.187813,64.7322,63.9248
Hybrid_Gmax=1000,GPU,web-Google,3,32.2915,53283491,55913164,106.369,81.5269,3.92532,39.4006,42.0793
Hybrid_Gmax=1000,GPU,web-NotreDame,3,6.799,6114286,8798726,33.2998,41.4295,1.92424,18.4967,17.7826
Hybrid_Gmax=1000,GPU,DBLP,4,877.109,9474623571,0,10871,0,0,0,12333.6


