algo,type,data_set,K,index_time(s),size(MB),before_clean_size(MB),query_time(ms),before_clean_query_time(ms),clean_time(s)
HSDL,CPU,facebook_clean_data,2,13.7028,52373397,52466844,2.10631,5.7728,7.63274
HSDL,CPU,facebook_clean_data,3,165.537,229093407,230234708,1.85281,5.37064,69.3585
HSDL,CPU,facebook_clean_data,4,545.121,344526842,346755482,2.2808,5.3864,144.632
HSDL,CPU,git_web_ml,2,6.96943,15401375,15734238,2.55777,2.81742,1.22108
HSDL,CPU,git_web_ml,3,24.8669,50958389,52776656,2.74627,5.72559,6.25275
HSDL,CPU,git_web_ml,4,46.2246,75803329,79041869,1.85924,6.04547,13.1711
HSDL,CPU,twitch,2,0.846245,9525554,9965802,1.83979,2.91256,0.467871
HSDL,CPU,twitch,3,4.23162,23719929,25378282,1.94237,5.79431,1.50579
HSDL,CPU,twitch,4,12.8887,41792673,44617643,1.94973,5.68935,3.99323
HSDL,CPU,twitch_gamers,2,153.298,247534768,255840871,1.85889,4.53755,46.3394
HSDL,CPU,twitch_gamers,3,1110.9,572259569,584894608,1.83251,4.36989,175.368
HSDL,CPU,twitch_gamers,4,2449.01,761580553,781431054,2.69313,5.22986,280.42
HSDL,CPU,as-skitter,2,200.64,184319407,184925684,1.79366,2.92031,26.346
HSDL,CPU,as-skitter,3,1549.48,2163407679,2181509308,1.75889,2.54765,1334.91
HSDL,CPU,as-skitter,4,20020.3,8802986478,8880319749,1.74937,2.54546,11848.2
HSDL,CPU,DBLP,2,179.362,142610240,143293418,1.79036,2.55225,20.865
HSDL,CPU,DBLP,3,1920.36,2097094938,2112836613,1.81143,2.54427,2091.74
HSDL,CPU,DBLP,4,48210.1,10920746652,11041237512,1.74757,4.62601,39486.7
HSDL,CPU,wiki-talk,2,518.974,297991228,299583496,1.77472,2.54627,20.178
HSDL,CPU,wiki-talk,3,3641.39,4204556318,4265512540,1.73811,2.55894,602.731
HSDL,CPU,wiki-talk,4,7814.23,6959956068,7077133755,1.74475,2.5502,1496.2
HSDL,CPU,cit-Patents,2,476.118,192582818,192585964,0,2.56818,171.364
HSDL,CPU,cit-Patents,3,1961.48,2127636653,2127800530,0,2.57668,1099.31

HopDijkstra,CPU,facebook_clean_data,2,0,0,0,14944,0,0
HopDijkstra,CPU,facebook_clean_data,3,0,0,0,315771,0,0
HopDijkstra,CPU,facebook_clean_data,4,0,0,0,489128,0,0
HopDijkstra,CPU,git_web_ml,2,0,0,0,3941,0,0
HopDijkstra,CPU,git_web_ml,3,0,0,0,18995,0,0
HopDijkstra,CPU,git_web_ml,4,0,0,0,26404,0,0
HopDijkstra,CPU,twitch,2,0,0,0,2420,0,0
HopDijkstra,CPU,twitch,3,0,0,0,6656,0,0
HopDijkstra,CPU,twitch,4,0,0,0,10756,0,0
HopDijkstra,CPU,twitch_gamers,2,0,0,0,1.82109e+06,0,0
HopDijkstra,CPU,twitch_gamers,3,0,0,0,2.73101e+06,0,0
HopDijkstra,CPU,twitch_gamers,4,0,0,0,3.29837e+06,0,0
HopDijkstra,CPU,as-skitter,2,0,0,0,52541,0,0
HopDijkstra,CPU,as-skitter,3,0,0,0,1.21408e+06,0,0
HopDijkstra,CPU,as-skitter,4,0,0,0,3.76056e+06,0,0
HopDijkstra,CPU,cit-Patents,2,0,0,0,20023,0,0
HopDijkstra,CPU,cit-Patents,3,0,0,0,19406,0,0
HopDijkstra,CPU,cit-Patents,4,0,0,0,116071,0,0
HopDijkstra,CPU,wiki-talk,2,0,0,0,34730,0,0
HopDijkstra,CPU,wiki-talk,3,0,0,0,3.01037e+06,0,0
HopDijkstra,CPU,wiki-talk,4,0,0,0,3.1564e+06,0,0
2023WWW,CPU,cit-Patents,2,73.6673,242060437,0,0,0,0.0634433

Hybrid(CPU+GPU),GPU,as-skitter,2,124.902,205597654,0,2.58439,0,0
